vehicle_id;timestamp;time;speed;course;lat;lon
433a87bdd7c14aab7658fd576e3d6d775cc5a52ae28b632a8dd4a219354a27c6;1713981308;24.04.2024 19:55;46;280;51.94012;15.49857
da89b4c32f38ee31fb215563a4a544a9f1efc122fe7f3e4b318eb3142b402669;1713981310;24.04.2024 19:55;50;264;51.93928;15.47822
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981315;24.04.2024 19:55;25;158;51.93666;15.49442
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981315;24.04.2024 19:55;57;88;51.93934;15.48507
433a87bdd7c14aab7658fd576e3d6d775cc5a52ae28b632a8dd4a219354a27c6;1713981318;24.04.2024 19:55;57;270;51.94025;15.49615
b944cb226b72df85e5f1e72d756bdecc391a2b666fc7963933765190650c77e7;1713981319;24.04.2024 19:55;25;218;51.94028;15.46577
da89b4c32f38ee31fb215563a4a544a9f1efc122fe7f3e4b318eb3142b402669;1713981320;24.04.2024 19:55;43;264;51.93919;15.47632
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981325;24.04.2024 19:55;25;146;51.93636;15.49465
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981325;24.04.2024 19:55;68;88;51.93937;15.4877
433a87bdd7c14aab7658fd576e3d6d775cc5a52ae28b632a8dd4a219354a27c6;1713981328;24.04.2024 19:55;32;290;51.94031;15.49423
da89b4c32f38ee31fb215563a4a544a9f1efc122fe7f3e4b318eb3142b402669;1713981330;24.04.2024 19:55;39;264;51.93913;15.47481
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981335;24.04.2024 19:55;50;102;51.93574;15.49594
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981335;24.04.2024 19:55;57;84;51.93941;15.49031
433a87bdd7c14aab7658fd576e3d6d775cc5a52ae28b632a8dd4a219354a27c6;1713981338;24.04.2024 19:55;57;354;51.94128;15.4937
da89b4c32f38ee31fb215563a4a544a9f1efc122fe7f3e4b318eb3142b402669;1713981340;24.04.2024 19:55;3;266;51.93909;15.47384
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981345;24.04.2024 19:55;61;80;51.93585;15.49826
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981345;24.04.2024 19:55;57;76;51.93968;15.49263
433a87bdd7c14aab7658fd576e3d6d775cc5a52ae28b632a8dd4a219354a27c6;1713981348;24.04.2024 19:55;57;320;51.94278;15.4931
fb661c27d0b97f915a7cef876d542151d92ccf1938c444e0d36d23f3671f9bfa;1713981350;24.04.2024 19:55;14;340;51.93554;15.50189
da89b4c32f38ee31fb215563a4a544a9f1efc122fe7f3e4b318eb3142b402669;1713981352;24.04.2024 19:55;10;178;51.93907;15.47381
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981355;24.04.2024 19:55;28;90;51.936;15.50047
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981360;24.04.2024 19:56;0;78;51.93975;15.49307
fb661c27d0b97f915a7cef876d542151d92ccf1938c444e0d36d23f3671f9bfa;1713981360;24.04.2024 19:56;39;350;51.93618;15.50159
fb661c27d0b97f915a7cef876d542151d92ccf1938c444e0d36d23f3671f9bfa;1713981370;24.04.2024 19:56;39;356;51.93721;15.50161
a64cde57c771bdacc5d9e4e20f81cf3de3025309fc7274d95279ffb0636db459;1713981373;24.04.2024 19:56;18;162;51.93726;15.5111
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981376;24.04.2024 19:56;0;78;51.93976;15.49307
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981377;24.04.2024 19:56;10;96;51.93598;15.50078
a64cde57c771bdacc5d9e4e20f81cf3de3025309fc7274d95279ffb0636db459;1713981383;24.04.2024 19:56;50;120;51.9369;15.51238
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981386;24.04.2024 19:56;0;78;51.93975;15.49306
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981387;24.04.2024 19:56;54;106;51.93573;15.50236
a64cde57c771bdacc5d9e4e20f81cf3de3025309fc7274d95279ffb0636db459;1713981393;24.04.2024 19:56;36;136;51.93618;15.51374
2643e0c9851897736c1e4042ed7f0483671fac7c04aa4b576e9e93c46bfcb46c;1713981397;24.04.2024 19:56;32;90;51.93547;15.50431
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981398;24.04.2024 19:56;0;78;51.93973;15.49304
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981410;24.04.2024 19:56;3;80;51.93971;15.4931
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981420;24.04.2024 19:57;32;60;51.93986;15.49425
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981430;24.04.2024 19:57;57;84;51.94007;15.49628
76aa804760bcee9fc34354d1160f644fe259f7569c81001177a0b6bfc4292c73;1713981440;24.04.2024 19:57;61;100;51.93998;15.49867
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981553;24.04.2024 19:59;36;298;51.93147;15.48579
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981563;24.04.2024 19:59;43;318;51.93219;15.4845
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981573;24.04.2024 19:59;32;40;51.93299;15.48401
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981583;24.04.2024 19:59;57;56;51.93359;15.48557
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981593;24.04.2024 19:59;57;66;51.93423;15.48777
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981600;24.04.2024 20:00;54;66;51.93461;15.48921
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981610;24.04.2024 20:00;46;66;51.93506;15.49102
1d5dcad2078152e10dcfbd32ae1cafa7792829493081006632da012a2d98f378;1713981612;24.04.2024 20:00;3;190;51.94017;15.49932
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981620;24.04.2024 20:00;28;54;51.93551;15.4925
1d5dcad2078152e10dcfbd32ae1cafa7792829493081006632da012a2d98f378;1713981622;24.04.2024 20:00;32;282;51.9401;15.49873
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981630;24.04.2024 20:00;43;66;51.93597;15.49407
1d5dcad2078152e10dcfbd32ae1cafa7792829493081006632da012a2d98f378;1713981632;24.04.2024 20:00;46;272;51.94024;15.49698
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981640;24.04.2024 20:00;25;114;51.93607;15.49497
1d5dcad2078152e10dcfbd32ae1cafa7792829493081006632da012a2d98f378;1713981642;24.04.2024 20:00;39;268;51.94024;15.49524
309d07f2b5ec88c632fd40a1adb6f61c5c3af44f75e929f8e52fd3ff96a91f25;1713981648;24.04.2024 20:00;21;16;51.93108;15.47972
58bc67d493ca77eb803e5d352d20dcb40f8e1f611ccf89d4d6c5ced72c36bd8b;1713981650;24.04.2024 20:00;14;110;51.93578;15.49577
1d5dcad2078152e10dcfbd32ae1cafa7792829493081006632da012a2d98f378;1713981652;24.04.2024 20:00;3;268;51.94023;15.49448
